Timestamp (UTC),trval,tqP,tq1P,tq2P
17:52:08.697,-1.86,-0.14,-0.11,-0.18
17:52:08.794,0.79,-0.09,-0.00,-0.17
17:52:08.893,-0.57,-0.06,0.03,-0.15
17:52:08.992,-5.14,-0.06,0.04,-0.15
17:52:09.090,-0.64,-0.06,0.06,-0.18
17:52:09.193,1.86,-0.09,-0.00,-0.17
17:52:09.290,2.79,-0.08,0.02,-0.19
17:52:09.389,3.86,-0.06,0.08,-0.19
17:52:09.488,1.71,-0.05,0.10,-0.20
17:52:09.586,0.21,-0.05,0.08,-0.18
17:52:09.684,1.64,-0.08,0.03,-0.20
17:52:09.786,0.14,-0.05,0.12,-0.22
17:52:09.883,1.79,-0.02,0.15,-0.20
17:52:09.983,2.07,-0.03,0.11,-0.18
17:52:10.081,-0.93,-0.05,0.07,-0.17
17:52:10.180,-1.57,-0.06,0.06,-0.18
17:52:10.277,1.14,-0.07,0.06,-0.20
17:52:10.377,-0.71,-0.04,0.10,-0.18
17:52:10.478,-1.00,-0.04,0.13,-0.21
17:52:10.577,-1.57,-0.04,0.14,-0.23
17:52:10.674,-3.93,-0.05,0.11,-0.21
17:52:10.773,0.07,-0.09,0.03,-0.21
17:52:10.872,0.79,-0.12,-0.03,-0.21
17:52:10.970,0.50,-0.11,-0.02,-0.19
17:52:11.068,1.86,-0.07,0.04,-0.19
17:52:11.171,2.29,-0.08,0.04,-0.21
17:52:11.269,-1.86,-0.05,0.06,-0.16
17:52:11.367,1.71,-0.04,0.11,-0.19
17:52:11.467,3.50,-0.04,0.15,-0.22
17:52:11.564,1.29,-0.02,0.17,-0.21
17:52:11.662,5.14,-0.01,0.16,-0.18
17:52:11.764,1.79,-0.05,0.09,-0.20
17:52:11.863,-1.36,-0.05,0.10,-0.20
17:52:11.961,-2.00,-0.05,0.13,-0.23
17:52:12.060,1.21,-0.02,0.21,-0.25
17:52:12.158,4.71,-0.03,0.16,-0.22
17:52:12.256,0.64,-0.05,0.14,-0.23
17:52:12.356,0.71,-0.05,0.12,-0.23
17:52:12.456,1.71,-0.04,0.13,-0.21
17:52:12.554,3.93,-0.07,0.08,-0.21
17:52:12.653,-0.07,-0.08,0.07,-0.22
17:52:12.751,-0.93,-0.07,0.08,-0.22
17:52:12.850,-0.36,-0.05,0.10,-0.21
17:52:12.948,-0.36,-0.06,0.08,-0.19
17:52:13.047,-0.50,-0.05,0.10,-0.20
17:52:13.149,1.86,-0.05,0.12,-0.21
17:52:13.248,-0.93,-0.05,0.13,-0.24
17:52:13.346,-0.64,-0.05,0.14,-0.23
17:52:13.444,-1.00,-0.06,0.10,-0.23
17:52:13.542,-6.00,-0.06,0.09,-0.22
17:52:13.640,-3.50,-0.06,0.12,-0.25
17:52:13.739,-0.93,-0.05,0.14,-0.24
17:52:13.841,-0.43,-0.05,0.13,-0.24
17:52:13.939,2.29,-0.04,0.17,-0.24
17:52:14.038,5.07,-0.05,0.13,-0.22
17:52:14.137,0.14,-0.06,0.12,-0.23
17:52:14.234,1.43,-0.07,0.13,-0.27
17:52:14.333,-0.14,-0.06,0.16,-0.28
17:52:14.434,-1.00,-0.06,0.17,-0.29
17:52:14.533,3.50,-0.03,0.17,-0.23
17:52:14.631,3.71,-0.03,0.16,-0.23
17:52:14.730,-1.43,-0.06,0.13,-0.25
17:52:14.828,2.14,-0.05,0.16,-0.25
17:52:14.927,-0.50,-0.05,0.16,-0.26
17:52:15.024,-4.21,-0.05,0.17,-0.26
17:52:15.127,-1.29,-0.07,0.12,-0.26
17:52:15.226,-2.50,-0.09,0.09,-0.26
17:52:15.324,-6.36,-0.08,0.10,-0.26
17:52:15.422,-0.93,-0.07,0.12,-0.26
17:52:15.520,2.36,-0.09,0.08,-0.26
17:52:15.619,2.64,-0.07,0.09,-0.23
17:52:15.717,-0.79,-0.06,0.15,-0.26
17:52:15.819,-4.07,-0.07,0.14,-0.28
17:52:15.918,-0.79,-0.09,0.11,-0.28
17:52:16.016,0.14,-0.09,0.11,-0.28
17:52:16.114,2.29,-0.07,0.11,-0.26
17:52:16.212,5.64,-0.07,0.11,-0.26
17:52:16.311,3.57,-0.06,0.16,-0.27
17:52:16.412,-0.43,-0.04,0.18,-0.26
17:52:16.511,-1.43,-0.04,0.18,-0.27
17:52:16.610,-1.36,-0.05,0.16,-0.26
17:52:16.708,-1.64,-0.07,0.12,-0.26
17:52:16.807,-0.86,-0.10,0.07,-0.26
17:52:16.904,1.64,-0.11,0.06,-0.28
17:52:17.002,-0.07,-0.09,0.06,-0.24
17:52:17.105,-1.50,-0.10,0.05,-0.24
17:52:17.203,0.29,-0.12,0.05,-0.29
17:52:17.302,3.29,-0.06,0.15,-0.28
17:52:17.401,2.71,-0.02,0.20,-0.25
17:52:17.499,2.43,-0.05,0.14,-0.24
17:52:17.597,2.71,-0.05,0.13,-0.23
17:52:17.695,1.07,-0.05,0.12,-0.23
17:52:17.798,-1.29,-0.06,0.13,-0.25
17:52:17.896,0.14,-0.04,0.15,-0.24
17:52:17.994,3.21,-0.05,0.14,-0.24
17:52:18.092,-1.57,-0.07,0.11,-0.24
17:52:18.191,-4.14,-0.08,0.10,-0.27
17:52:18.289,8.93,-0.08,0.09,-0.24
17:52:18.387,5.29,-0.07,0.13,-0.26
17:52:18.489,6.79,-0.04,0.19,-0.28
17:52:18.588,5.64,-0.05,0.19,-0.28
17:52:18.686,3.00,-0.07,0.12,-0.25
17:52:18.784,1.07,-0.03,0.18,-0.24
17:52:18.883,3.21,-0.02,0.20,-0.23
17:52:18.981,1.43,-0.08,0.13,-0.29
17:52:19.084,0.71,-0.08,0.14,-0.30
17:52:19.181,1.57,-0.07,0.12,-0.26
17:52:19.280,4.79,-0.09,0.09,-0.26
17:52:19.379,3.21,-0.08,0.08,-0.24
17:52:19.477,3.71,-0.08,0.08,-0.25
17:52:19.575,1.57,-0.09,0.09,-0.26
17:52:19.673,-4.00,-0.06,0.11,-0.23
17:52:19.776,0.57,-0.04,0.15,-0.24
17:52:19.874,-0.07,-0.05,0.17,-0.27
17:52:19.972,-3.00,-0.05,0.16,-0.26
