Timestamp (UTC),trval,tqP,tq1P,tq2P
18:35:51.669,-26.00,-0.13,-0.21,-0.04
18:35:51.768,-26.64,-0.14,-0.19,-0.09
18:35:51.866,-26.00,-0.17,-0.25,-0.08
18:35:51.963,-24.71,-0.14,-0.18,-0.09
18:35:52.066,-25.21,-0.03,0.04,-0.10
18:35:52.165,-24.07,-0.07,-0.05,-0.09
18:35:52.263,-23.86,-0.09,-0.13,-0.05
18:35:52.362,-25.14,-0.93,-2.08,0.21
18:35:52.460,110.71,3.96,-8.71,16.63
18:35:52.558,1652.50,3.96,-11.77,19.69
18:35:52.660,3251.29,4.12,-12.17,20.40
18:35:52.757,3495.86,4.14,-12.24,20.52
18:35:52.856,3500.93,4.14,-12.02,20.29
18:35:52.955,3117.79,5.32,-10.19,20.83
18:35:53.053,2500.00,5.45,-7.57,18.47
18:35:53.152,2213.07,2.38,-5.62,10.38
18:35:53.250,2086.71,1.82,-3.81,7.45
18:35:53.352,2011.57,1.37,-2.44,5.19
18:35:53.450,1960.57,0.98,-1.48,3.45
18:35:53.549,1880.29,0.84,-1.12,2.79
18:35:53.647,1845.14,0.51,-1.16,2.17
18:35:53.746,1823.57,0.23,-1.04,1.49
18:35:53.844,1798.21,0.21,-1.12,1.54
18:35:53.942,1778.21,-0.01,-1.14,1.12
18:35:54.044,1759.36,-0.49,-1.17,0.19
18:35:54.142,1723.50,-0.74,-1.49,0.00
18:35:54.241,1702.29,-0.72,-1.40,-0.04
18:35:54.340,1686.93,-0.65,-1.27,-0.04
18:35:54.437,1662.79,-0.61,-1.18,-0.04
18:35:54.538,1652.57,-0.54,-1.09,0.01
18:35:54.638,1645.29,-0.49,-0.94,-0.04
18:35:54.736,1635.50,-0.50,-0.94,-0.06
18:35:54.835,1624.57,-0.55,-1.06,-0.05
18:35:54.934,1620.43,-1.05,-2.06,-0.03
18:35:55.032,1611.50,-1.71,-3.38,-0.05
18:35:55.130,1603.79,-1.91,-3.75,-0.06
18:35:55.229,1586.86,-1.91,-3.79,-0.03
18:35:55.331,1581.86,-1.88,-3.72,-0.03
18:35:55.428,1573.43,-1.92,-3.79,-0.05
18:35:55.527,1564.21,-1.95,-3.85,-0.05
18:35:55.625,1562.93,-1.98,-3.93,-0.04
18:35:55.724,1561.93,-2.06,-4.11,-0.02
18:35:55.822,1557.21,-2.13,-4.24,-0.02
18:35:55.920,1550.36,-2.25,-4.52,0.01
18:35:56.023,1527.50,-2.41,-4.84,0.01
18:35:56.121,1511.29,-2.38,-4.74,-0.02
18:35:56.220,1509.00,-2.14,-4.23,-0.04
